"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"544","28.18","34.45","2082","2706","1808"
"653","28.17","34.45","2082","2706","1808"
"762","28.17","34.44","2082","2706","1808"
"871","28.18","34.44","2082","2706","1808"
"980","28.19","34.43","2082","2706","1808"
"1089","28.19","34.42","2082","2708","1808"
"1199","28.18","34.42","2082","2708","1808"
"1307","28.20","34.42","2082","2708","1808"
"1417","28.19","34.42","2082","2708","1808"
"1525","28.20","34.40","2082","2710","1808"
"1635","28.21","34.40","2082","2710","1808"
"1743","28.20","34.40","2082","2710","1808"
"1852","28.20","34.40","2082","2710","1808"
"1961","28.21","34.39","2082","2710","1808"
"2070","28.21","34.39","2082","2712","1808"
"2180","28.20","34.39","2082","2712","1808"
"2288","28.21","34.39","2082","2712","1808"
"2398","28.23","34.39","2082","2712","1808"
"2506","28.21","34.39","2082","2712","1808"
"2616","28.23","34.39","2082","2714","1808"
"2724","28.23","34.38","2082","2714","1808"
"2834","28.23","34.37","2082","2714","1808"
"2942","28.23","34.37","2082","2714","1808"
"3052","28.23","34.37","2082","2714","1808"
"3161","28.23","34.37","2082","2716","1808"
"3270","28.24","34.36","2082","2716","1808"
"3379","28.23","34.36","2082","2716","1808"
"3488","28.25","34.35","2082","2716","1808"
"3597","28.24","34.36","2082","2716","1808"
"3706","28.23","34.35","2082","2716","1808"
"3815","28.24","34.35","2082","2718","1808"
"3923","28.26","34.33","2082","2718","1808"
"4033","28.24","34.33","2082","2718","1808"
"4142","28.25","34.34","2082","2718","1808"
"4251","28.25","34.33","2082","2718","1808"
"4360","28.24","34.33","2082","2718","1808"
"4469","28.25","34.33","2082","2720","1808"
"4578","28.25","34.32","2084","2720","1808"
"4687","28.26","34.32","2082","2720","1808"
"4796","28.25","34.32","2084","2720","1808"
"4905","28.26","34.31","2082","2720","1808"
"5014","28.26","34.31","2084","2720","1808"
"5124","28.26","34.31","2084","2722","1808"
"5232","28.26","34.31","2084","2722","1808"
"5342","28.26","34.30","2084","2722","1808"
"5450","28.25","34.29","2084","2722","1808"
"5560","28.27","34.30","2084","2722","1808"
"5668","28.26","34.29","2084","2724","1810"
"5778","28.27","34.30","2084","2724","1808"
"5886","28.26","34.29","2084","2724","1810"
"5995","28.27","34.29","2084","2724","1810"
"6105","28.26","34.29","2084","2726","1810"
"6213","28.26","34.29","2084","2726","1810"
"6323","28.28","34.29","2084","2726","1810"
"6431","28.26","34.28","2084","2726","1808"
"6541","28.27","34.27","2084","2728","1810"
"6649","28.27","34.26","2084","2728","1810"
"6759","28.26","34.26","2084","2728","1810"
"6867","28.27","34.26","2084","2728","1810"
"6977","28.27","34.26","2084","2730","1810"
"7086","28.28","34.26","2084","2730","1810"
"7195","28.29","34.26","2084","2730","1810"
"7304","28.28","34.26","2084","2732","1810"
"7413","28.27","34.25","2084","2732","1810"
"7522","28.27","34.23","2084","2734","1810"
"7631","28.28","34.25","2086","2734","1810"
"7740","28.27","34.24","2084","2736","1810"
"7849","28.27","34.23","2086","2736","1810"
"7958","28.28","34.24","2086","2736","1810"
"8067","28.28","34.23","2086","2738","1810"
"8176","28.28","34.23","2086","2740","1810"
"8285","28.28","34.22","2086","2740","1810"
"8394","28.27","34.22","2086","2742","1810"
"8503","28.29","34.22","2086","2744","1810"
"8612","28.27","34.21","2088","2746","1810"
"8721","28.28","34.21","2088","2748","1810"
"8830","28.28","34.21","2088","2750","1810"
"8939","28.28","34.21","2090","2752","1810"
"9049","28.27","34.21","2090","2756","1810"
"9157","28.29","34.21","2092","2758","1810"
"9267","28.27","34.20","2092","2760","1810"
"9375","28.26","34.20","2092","2762","1810"
"9485","28.27","34.20","2094","2764","1810"
"9593","28.28","34.20","2094","2766","1810"
"9703","28.28","34.20","2094","2768","1810"
"9811","28.28","34.20","2094","2770","1810"
"9921","28.28","34.21","2096","2772","1810"
"10030","28.28","34.20","2096","2772","1810"
"10139","28.29","34.20","2096","2774","1810"
"10248","28.28","34.20","2096","2776","1810"
"10357","28.28","34.20","2098","2778","1810"
"10466","28.28","34.20","2098","2778","1810"
"10575","28.28","34.20","2098","2780","1810"
"10684","28.28","34.20","2098","2782","1810"
"10793","28.29","34.20","2098","2784","1810"
"10902","28.28","34.20","2100","2784","1810"
"11012","28.29","34.20","2100","2786","1810"
"11120","28.28","34.20","2100","2786","1810"
"11230","28.29","34.19","2100","2788","1810"
"11338","28.29","34.20","2100","2788","1810"
