"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"545","25.12","40.87","2072","4024","1748"
"654","25.13","40.87","2072","4052","1748"
"763","25.13","40.86","2072","4084","1748"
"872","25.14","40.86","2072","4094","1748"
"982","25.15","40.86","2072","4094","1748"
"1090","25.14","40.86","2072","4094","1748"
"1199","25.15","40.85","2072","4094","1750"
"1308","25.15","40.85","2072","4094","1750"
"1417","25.14","40.85","2072","4094","1750"
"1526","25.16","40.84","2070","4094","1750"
"1635","25.16","40.84","2070","4094","1750"
"1744","25.17","40.84","2070","4094","1750"
"1853","25.16","40.83","2070","4094","1750"
"1963","25.16","40.83","2070","4094","1750"
"2071","25.16","40.82","2070","4094","1750"
