"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"545","27.79","32.32","4094","4094","1834"
"654","27.79","32.31","4094","4094","1834"
"763","27.79","32.31","4094","4094","1834"
"872","27.81","32.31","4094","4094","1834"
"982","27.81","32.32","4094","4094","1834"
"1090","27.81","32.32","4094","4094","1834"
"1199","27.80","32.33","4094","4094","1834"
"1308","27.81","32.35","4094","4094","1834"
"1417","27.80","32.37","4094","4094","1834"
"1526","27.81","32.39","4094","4094","1834"
"1635","27.80","32.39","4094","4094","1834"
"1744","27.81","32.42","4094","4094","1834"
"1853","27.81","32.43","4094","4094","1834"
"1963","27.81","32.45","4094","4094","1834"
"2071","27.81","32.47","4094","4094","1834"
