"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"544","27.80","32.42","4094","4094","1800"
"653","27.80","32.39","4094","4094","1800"
"762","27.81","32.36","4094","4094","1800"
"871","27.81","32.33","4094","4094","1800"
"980","27.82","32.31","4094","4094","1802"
"1089","27.82","32.27","4094","4094","1802"
"1198","27.82","32.25","4094","4094","1802"
"1307","27.83","32.22","4094","4094","1802"
"1416","27.83","32.20","4094","4094","1802"
"1525","27.83","32.17","4094","4094","1802"
"1634","27.84","32.15","4094","4094","1802"
"1743","27.83","32.13","4094","4094","1800"
"1852","27.83","32.11","4094","4094","1800"
"1961","27.84","32.08","4094","4094","1800"
"2070","27.83","32.07","4094","4094","1800"
